appId,name,agentType,agentSource,description,logoUrl,status,onlineTime,permission,agentMedalList,auditSign,deployChannels,figureTaskStatus,firstDeployWxMiniProgram,forceOfflineMessage,industryTemplateId,latestIndustryAgentBindType,memberInfo,message,modeType,offlinePluginNum,onlineIndustryAgentBindType,previewUrl,privatePluginNum,shareTag,speechStatus,tags,wxAuthList,xmiDeployInfo
PLHlBUoS9YGvjynpriJsvickln4JUE0I,游戏导航员,1,1,带你快速获取各种游戏资源热门与冷门好游，解析玩法机制、通关思路与版本情报，少走弯路，轻松上手。,"https://lingjing-online.cdn.bcebos.com/v1/lingjing-online/appavatar/2025-12-27/9044cb8a-2968-4455-9809-8bd146bbf22e.jpg?x-bce-process=image/format,f_webp/resize,m_fill,w_360,h_360",6,1769056229609,3,,1,[],,False,,0,0,,,0,0,100,,0,0,,[],,
CCAQElsFN5hgow5FYfI30VZ0Hwzq9V12,游戏收藏家,1,1,本资源库收录经过筛选的游戏内容，包含玩法解析、机制说明与进阶要点，适合随时查阅。,"https://lingjing-online.cdn.bcebos.com/v1/lingjing-online/appavatar/2025-12-27/d05a4cf1-5f16-401e-b985-8790ce122bf4.jpg?x-bce-process=image/format,f_webp/resize,m_fill,w_360,h_360",6,1769055982917,3,,1,[],,False,,0,0,,,0,0,100,,0,0,,[],,
7M3vjYscauO7PKszxkCMUa6NKTA2tg5u,游戏天地,1,1,游戏天地，通过结构化呈现，打造多类型游戏内容集合。,"https://lingjing-online.cdn.bcebos.com/v1/lingjing-online/appavatar/2026-01-04/978751b3-ece0-44e6-8c14-b08efa248799.jpg?x-bce-process=image/format,f_webp/resize,m_fill,w_360,h_360",6,1767505898743,3,,1,[],,False,,0,0,,,0,0,100,,0,0,,[],,
MGKTdgs2Jf5dXHtEupvHEBdjTLxV7RJT,游戏工厂,1,1,汇聚多类型游戏内容，持续更新，帮助你高效发现感兴趣的游戏方向。,"https://lingjing-online.cdn.bcebos.com/v1/lingjing-online/appavatar/2026-01-03/e7f89652-d14c-4df5-8001-b36b7d977f1e.jpg?x-bce-process=image/format,f_webp/resize,m_fill,w_360,h_360",6,1767432283548,3,,1,[],,False,,0,0,,,0,0,100,,0,0,,[],,
yEReAZx0FCwmbro2mSIgrEnGAzrlot4g,游戏集市,1,1,热闹的游戏集市，汇聚多类型游戏内容，满足不同玩家的兴趣与探索需求。,"https://lingjing-online.cdn.bcebos.com/v1/lingjing-online/appavatar/2026-01-03/4c78ca92-8482-4108-9848-09d4e9a1a494.jpg?x-bce-process=image/format,f_webp/resize,m_fill,w_360,h_360",6,1767431832901,3,,1,[],,False,,0,0,,,0,0,100,,0,0,,[],,
5r348jumd1WAht4yt8WfkCfBodwQXGZB,游戏探索者,1,1,游戏探索者：精选优质游戏内容，深度解析玩法亮点与实用情报，带你快速发现真正值得玩的游戏,"https://lingjing-online.cdn.bcebos.com/v1/lingjing-online/appavatar/2025-12-25/264acad3-e499-4318-a400-5f678849134a.jpg?x-bce-process=image/format,f_webp/resize,m_fill,w_360,h_360",6,1767345151984,3,,1,[],,False,,0,0,,,0,0,100,,0,0,,[],,
trgFruiJhKued6E9UMIuIeFunVYKH4Eq,游戏百宝箱,1,1,实用的游戏百宝箱，收藏并分享各类优质游戏资源,"https://lingjing-online.cdn.bcebos.com/v1/lingjing-online/appavatar/2025-12-31/18dd7e00-1cb9-4b39-a4f0-cab0210cb142.jpg?x-bce-process=image/format,f_webp/resize,m_fill,w_360,h_360",6,1767172003579,3,,1,[],,False,,0,0,,,0,0,100,,0,0,,[],,
uRUhgJEjmzQotzoYXTVSYLnDv8KFjEZj,游戏资源集,1,1,一个内容丰富的游戏仓库，集中展示各类游戏信息与特色亮点，让查找与选择更轻松。,"https://lingjing-online.cdn.bcebos.com/v1/lingjing-online/appavatar/2025-12-31/9463d48d-d86c-496c-a3ca-67525ce9d6da.jpg?x-bce-process=image/format,f_webp/resize,m_fill,w_360,h_360",6,1767171231016,3,,1,[],,False,,0,0,,,0,0,100,,0,0,,[],,
AZF8O1Wu4Sbpz5HLKR0TGRtUSsSWrtFP,游戏世界,1,1,游戏世界，汇集当下热门与小众佳作，用清晰推荐帮你快速找到好玩不踩雷的游戏，轻松探索更大的游戏乐趣。,"https://lingjing-online.cdn.bcebos.com/v1/lingjing-online/appavatar/2025-12-31/f644a693-8fde-41a8-bbcc-31b8e42976c7.jpg?x-bce-process=image/format,f_webp/resize,m_fill,w_360,h_360",6,1767171168010,3,,1,[],,False,,0,0,,,0,0,100,,0,0,,[],,
Q2HwMDFjpLYi6G3YkDQV0MAsEbTvKZiO,游戏资源库,1,1,系统化的游戏资源库，提供专业的游戏知识库和资源检索功能,"https://lingjing-online.cdn.bcebos.com/v1/lingjing-online/appavatar/2025-12-31/d9f9955d-8db0-4d26-8fec-2284d1463f0a.jpg?x-bce-process=image/format,f_webp/resize,m_fill,w_360,h_360",6,1767170251324,3,,1,[],,False,,0,0,,,0,0,100,,0,0,,[],,
HWRV0e1xXOSE31JtlljIWE4ZfY2KrKXj,游戏云空间,1,1,现代化的游戏云空间，提供便捷的云端游戏资源获取服务,"https://lingjing-online.cdn.bcebos.com/v1/lingjing-online/appavatar/2025-12-31/dc338101-6654-43fd-8cbb-5265ba8f678d.jpg?x-bce-process=image/format,f_webp/resize,m_fill,w_360,h_360",6,1767170136782,3,,1,[],,False,,0,0,,,0,0,100,,0,0,,[],,
fs4If5yOUl17ujIHm5kAqUU3FUltbWyY,游戏宝库,1,1,珍贵的游戏宝库，收藏优质游戏资源，为用户提供精选内容,"https://lingjing-online.cdn.bcebos.com/v1/lingjing-online/appavatar/2025-12-31/7ce2be1d-1597-4b5a-8367-08a899d12915.jpg?x-bce-process=image/format,f_webp/resize,m_fill,w_360,h_360",6,1767170122331,3,,1,[],,False,,0,0,,,0,0,100,,0,0,,[],,
y5peCo3rqp683nNJO9NBdMXGwK4suUUi,游戏分享站,1,1,开放友好的游戏分享平台，致力于推荐和分享优质游戏资源,"https://lingjing-online.cdn.bcebos.com/v1/lingjing-online/appavatar/2025-12-31/003905a1-22f9-4962-9576-ca9f4291b5f4.jpg?x-bce-process=image/format,f_webp/resize,m_fill,w_360,h_360",6,1767169939991,3,,1,[],,False,,0,0,,,0,0,100,,0,0,,[],,
FAgTrHEghpR72dsBJpa9jssCBygNr9gR,游戏智囊团,1,1,把零散的游戏信息整理到一起，帮你少查资料，更快找到答案。,"https://lingjing-online.cdn.bcebos.com/v1/lingjing-online/appavatar/2025-12-27/5762a2e5-c6db-4943-9e66-c307015bf525.jpg?x-bce-process=image/format,f_webp/resize,m_fill,w_360,h_360",6,1766798215731,3,,1,[],,False,,0,0,,,0,0,100,,0,0,,[],,
n7OUCU8wf120n1uX24LD0KpmXRHSaqkx,游戏宝藏猎人,1,1,宝藏猎人，汇集各类热门游戏、实用资源与隐藏福利，帮你快速找到值得玩的好游戏。,"https://lingjing-online.cdn.bcebos.com/v1/lingjing-online/appavatar/2025-12-25/4b71c212-43b4-4a4e-8988-4117c26777d0.jpg?x-bce-process=image/format,f_webp/resize,m_fill,w_360,h_360",6,1766676600750,3,,1,[],,False,,0,0,,,0,0,100,,0,0,,[],,
Xewd411Hn2QaJNLNoy7S6btWAJ36CwYU,游戏情报站,1,1,游戏情报站，持续更新最新游戏情报、最新游戏资源，新游动态与核心玩法，一站了解值不值得玩。,"https://lingjing-online.cdn.bcebos.com/v1/lingjing-online/appavatar/2025-12-25/03b845c9-41ef-49f1-a6bc-592b687a3dcc.jpg?x-bce-process=image/format,f_webp/resize,m_fill,w_360,h_360",6,1766676393625,3,,1,[],,False,,0,0,,,0,0,100,,0,0,,[],,
